State,X,Y,2020-04-02 00:00:00,2020-04-03 00:00:00,2020-04-04 00:00:00,2020-04-05 00:00:00,2020-04-06 00:00:00
Alabama,-86.8073,32.799,6.492982986643141,7.992893842909569,7.9929745254641595,10.992715557365162,11.323439086898292
Alaska,-152.2683,61.385,2.448930395531099,2.44894357010836,2.949086037508378,2.9490992225898918,3.598560155991204
Arizona,-111.3877,33.7712,19.17374530001723,21.676102913844055,23.178623234502666,24.681573684809653,27.566165385248365
Arkansas,-92.3809,34.9513,6.12045043783528,6.622312243537289,7.6258336028108875,8.12779835345489,9.164941071724558
California,-119.7462,36.17,151.0753041589678,160.57772818792046,169.08039529723993,178.58281101659463,199.42608545439813
Colorado,-105.3272,39.0646,43.8673409927281,47.86686140091675,50.86639528097883,58.865021760557624,61.489120573616546
Connecticut,-72.7622,41.5834,41.707966714609725,45.20913854043161,48.21090374456513,50.71260097194435,54.94482977182583
Delaware,-75.5148,39.3498,4.394646333071093,4.894629222846593,6.394421056581981,6.894403945862302,7.1924119442969365
Florida,-81.717,27.8333,60.53120006698327,64.53032593082236,75.02935681320777,76.02853150582979,83.37243949875177
Georgia,-83.6487,32.9866,93.80056130027553,103.8041941775696,109.30708769891682,117.30960830807777,124.06848084550857
Hawaii,-157.5311,21.1098,0.15130121270294708,0.1512712641749059,0.15124130376707765,0.1512113339433973,0.20188458910213514
Idaho,-114.5103,44.2394,5.562149352681688,5.563144407530223,6.064420225527566,6.565694849166524,7.416361039487418
Illinois,-89.0022,40.3363,64.17729350345344,68.67730221349004,75.67726331504976,86.67714824783995,93.90256683715556
Indiana,-86.2604,39.8647,36.486322825692234,40.98613422001985,44.485956987832935,45.98580151413148,50.31483344315335
Iowa,-93.214,42.0046,4.09376794519265,5.0941891607811725,5.09367157758458,5.593623367682574,6.79417241051469
Kansas,-96.8005,38.5111,6.335884998782252,6.834978899040511,7.33407656873166,8.832949744738567,9.44745666584941
Kentucky,-84.6514,37.669,10.549052504751845,11.54934523994889,13.04972702186399,13.049849638159845,14.732608369194557
Louisiana,-91.8749,31.1801,180.079836906372,200.0798806547538,212.0804974027306,219.08140033301714,252.4403148819262
Maine,-69.3977,44.6074,1.6476142924429662,2.147561412091674,2.147566876411279,3.1474556943826597,3.1966711822712717
Maryland,-76.7902,39.0724,10.599071936157786,11.599049415983911,11.59973615721821,14.600382338877518,16.80003329626104
Massachusetts,-71.5314,42.2373,54.92793362544031,60.42792032156737,64.92793039708792,68.92794237719819,78.23676171570855
Michigan,-84.5603,43.3504,153.50607181079863,169.02193050224747,179.53337833569196,193.04275926213643,229.6592671835385
Minnesota,-93.9196,45.7326,6.994397777712145,7.994490376244949,8.994582980951028,10.994830236908472,11.659431877160277
Mississippi,-89.6812,32.7673,14.441267123355045,15.441276208144423,17.941154045613466,18.4412068791249,20.25468851353118
Missouri,-92.302,38.4623,15.644863508247592,16.645123285489444,17.144122772821042,18.645642835923926,19.861164583676977
Montana,-110.3261,46.9048,1.9314824232325605,2.4306037766832183,2.429707717829005,2.428837641683394,4.243563734171965
Nebraska,-98.2883,41.1289,1.1966876222992036,1.196585983814102,2.197178620053089,2.197076981278159,2.262854941684547
Nevada,-117.1219,38.4199,16.592585872220276,17.092358477015743,17.092118731966277,19.59190583443064,21.456560691588972
New Hampshire,-71.5653,43.4108,2.5994424346192666,2.599505611830962,3.099439412158815,3.0995029759092785,4.132468541043667
New Jersey,-74.5089,40.314,183.45695845141591,197.95778274936987,216.4640612228827,228.96215893304614,260.3305395331084
New Mexico,-106.2371,34.8375,1.9989199610857995,1.999036711861903,1.9991534624832525,2.498861596287972,2.6650170852791506
New York,-74.9384,42.1497,994.8647619697243,1069.8649282626218,1177.3648226654773,1324.3643869726254,1506.4809986848309
North Carolina,-79.8431,35.6411,6.744363753465013,7.244363731046495,7.74436370739458,8.744338914929143,9.325694535085692
North Dakota,-99.793,47.5362,1.0489579785493592,1.5489423108269353,1.548946408516898,1.548950504968681,2.0652333191498498
Ohio,-82.7755,40.3736,34.182712945983845,37.681500775507104,40.680756294721085,42.68023006473624,50.900949638116955
Oklahoma,-96.9247,35.5376,16.126691435212056,16.629939317476076,20.115871463216788,21.116232921565256,22.157081945714683
Oregon,-122.1269,44.5672,18.69980467751767,19.200160370295528,20.200459608757235,20.700529872566317,22.932859261965987
Pennsylvania,-77.264,40.5773,43.83378270063458,45.833988387280726,52.334089076755966,56.834236430765955,64.44469265772139
Rhode Island,-71.5101,41.6772,1.949708650263469,1.9493579907047944,2.9493170895485283,3.4491226862475144,3.9341268234729467
South Carolina,-80.9066,33.8191,18.055470928110115,21.055893691687462,22.056581458549033,22.557237731446147,25.40758363573187
South Dakota,-99.4632,44.2853,1.0,1.0,1.0,1.0,1.0
Tennessee,-86.7489,35.7449,9.445904515770176,11.445734423982666,11.945551922291362,12.945373838922613,15.927460116699205
Texas,-97.6475,31.106,43.888508530976054,45.88835950091054,48.38836970139795,52.889016541784414,59.18654538004065
Utah,-111.8535,40.1135,2.5994434296198454,2.5994459589931576,2.599448456998384,3.599437325115784,4.465905744312783
Vermont,-72.7093,44.0407,16.598098101264352,17.098113566190605,18.09813848427812,18.098144318354336,20.46412183084187
Virginia,-78.2057,37.768,18.0115671227155,18.013082613305755,20.012295517225912,25.008055551340984,23.679895363514966
Washington,-121.5708,47.3917,251.79540013422374,263.7706238980913,288.2450104118915,298.2185221758873,308.6120694284275
West Virginia,-80.9696,38.468,0.29888573115030176,0.29886198920198487,0.2988378675821789,0.2988113373784398,0.7318383272139781
Wisconsin,-89.6385,44.2563,21.390367350207747,22.890079605184326,24.889794683518556,25.389499118110503,27.52010734026184
Wyoming,-107.2085,42.7475,0.0,0.0,0.0,0.0,0.0
